Paystep,BA,Pre1970,BA+30,BA+60,BA+66,BA+96,MA,MA+,Salary Schedule
4A,53881,58558,55614,58820,60293,63496,62027,66703,2016
5A,54547,59224,56280,59486,60959,64162,62693,67369,2016
6A,55262,59939,56995,60201,61674,64877,63408,68084,2016
6A+L5,56350,61027,58083,61289,62762,65965,64496,69172,2016
6B,56276,60953,58009,61215,62688,65891,64422,69098,2016
6B+L5,57364,62041,59097,62303,63776,66979,65510,70186,2016
7A,57782,62459,59515,62721,64194,67397,65928,70604,2016
7A+L5,58870,63547,60603,63809,65282,68485,67016,71692,2016
7B,61308,65985,63041,66247,67720,70923,69454,74130,2016
7B+L5,62396,67073,64129,67335,68808,72011,70542,75218,2016
8A,64607,69284,66340,69546,71019,74222,72753,77429,2016
8A+L5,65695,70372,67428,70634,72107,75310,73841,78517,2016
8B,68524,73201,70257,73463,74936,78139,76670,81346,2016
8B+L5,69612,74289,71345,74551,76024,79227,77758,82434,2016
8B+L10,72971,77648,74704,77910,79383,82586,81117,85793,2016
8B+L13,75258,79935,76991,80197,81670,84873,83404,88080,2016
8B+L15,80084,84761,81817,85023,86496,89699,88230,92906,2016
8B+L18,81351,86028,83084,86290,87763,90966,89497,94173,2016
8B+L20,90718,95395,92451,95657,97130,100333,98864,103540,2016
8B+L22,95989,100666,97722,100928,102401,105604,104135,108811,2016
1A,54000,58890,55812,59164,60704,64052,62517,67405,2017
2A,55073,59963,56885,60237,61777,65125,63590,68478,2017
3A,55529,60419,57341,60693,62233,65581,64046,68934,2017
4A,56333,61223,58145,61497,63037,66385,64850,69738,2017
5A,57029,61919,58841,62193,63733,67081,65546,70434,2017
6A,57776,62666,59588,62940,64480,67828,66293,71181,2017
6A+L5,58914,63804,60726,64078,65618,68966,67431,72319,2017
6B,58837,63727,60649,64001,65541,68889,67354,72242,2017
6B+L5,59975,64865,61787,65139,66679,70027,68492,73380,2017
7A,60411,65301,62223,65575,67115,70463,68928,73816,2017
7A+L5,61549,66439,63361,66713,68253,71601,70066,74954,2017
7B,64098,68988,65910,69262,70802,74150,72615,77503,2017
7B+L5,65236,70126,67048,70400,71940,75288,73753,78641,2017
8A,67547,72437,69359,72711,74251,77599,76064,80952,2017
8A+L5,68685,73575,70497,73849,75389,78737,77202,82090,2017
8B,71642,76532,73454,76806,78346,81694,80159,85047,2017
8B+L5,72780,77670,74592,77944,79484,82832,81297,86185,2017
8B+L10,76291,81181,78103,81455,82995,86343,84808,89696,2017
8B+L13,78682,83572,80494,83846,85386,88734,87199,92087,2017
8B+L15,83728,88618,85540,88892,90432,93780,92245,97133,2017
8B+L18,85053,89943,86865,90217,91757,95105,93570,98458,2017
8B+L20,94846,99736,96658,100010,101550,104898,103363,108251,2017
8B+L22,100357,105247,102169,105521,107061,110409,108874,113762,2017
1A,55059,60045,56907,60324,61894,65308,63743,68727,2018 May
2A,56153,61139,58001,61418,62988,66402,64837,69821,2018 May
3A,56618,61604,58466,61883,63453,66867,65302,70286,2018 May
4A,57437,62423,59285,62702,64272,67686,66121,71105,2018 May
5A,58147,63133,59995,63412,64982,68396,66831,71815,2018 May
6A,58909,63895,60757,64174,65744,69158,67593,72577,2018 May
6A+L5,60069,65055,61917,65334,66904,70318,68753,73737,2018 May
6B,59990,64976,61838,65255,66825,70239,68674,73658,2018 May
6B+L5,61150,66136,62998,66415,67985,71399,69834,74818,2018 May
7A,61595,66581,63443,66860,68430,71844,70279,75263,2018 May
7A+L5,62755,67741,64603,68020,69590,73004,71439,76423,2018 May
7B,65355,70341,67203,70620,72190,75604,74039,79023,2018 May
7B+L5,66515,71501,68363,71780,73350,76764,75199,80183,2018 May
8A,68871,73857,70719,74136,75706,79120,77555,82539,2018 May
8A+L5,70031,75017,71879,75296,76866,80280,78715,83699,2018 May
8B,73047,78033,74895,78312,79882,83296,81731,86715,2018 May
8B+L5,74207,79193,76055,79472,81042,84456,82891,87875,2018 May
8B+L10,77787,82773,79635,83052,84622,88036,86471,91455,2018 May
8B+L13,80225,85211,82073,85490,87060,90474,88909,93893,2018 May
8B+L15,85370,90356,87218,90635,92205,95619,94054,99038,2018 May
8B+L18,86721,91707,88569,91986,93556,96970,95405,100389,2018 May
8B+L20,96706,101692,98554,101971,103541,106955,105390,110374,2018 May
8B+L22,102325,107311,104173,107590,109160,112574,111009,115993,2018 May
1A,56711,61847,58614,62134,63751,67267,65656,70789,2018 June
2A,57838,62974,59741,63261,64878,68394,66783,71916,2018 June
3A,58317,63453,60220,63740,65357,68873,67262,72395,2018 June
4A,59160,64296,61063,64583,66200,69716,68105,73238,2018 June
5A,59891,65027,61794,65314,66931,70447,68836,73969,2018 June
6A,60676,65812,62579,66099,67716,71232,69621,74754,2018 June
6A+L5,61871,67007,63774,67294,68911,72427,70816,75949,2018 June
6B,61790,66926,63693,67213,68830,72346,70735,75868,2018 June
6B+L5,62985,68121,64888,68408,70025,73541,71930,77063,2018 June
7A,63443,68579,65346,68866,70483,73999,72388,77521,2018 June
7A+L5,64638,69774,66541,70061,71678,75194,73583,78716,2018 June
7B,67316,72452,69219,72739,74356,77872,76261,81394,2018 June
7B+L5,68511,73647,70414,73934,75551,79067,77456,82589,2018 June
8A,70937,76073,72840,76360,77977,81493,79882,85015,2018 June
8A+L5,72132,77268,74035,77555,79172,82688,81077,86210,2018 June
8B,75238,80374,77141,80661,82278,85794,84183,89316,2018 June
8B+L5,76433,81569,78336,81856,83473,86989,85378,90511,2018 June
8B+L10,80120,85256,82023,85543,87160,90676,89065,94198,2018 June
8B+L13,82631,87767,84534,88054,89671,93187,91576,96709,2018 June
8B+L15,87931,93067,89834,93354,94971,98487,96876,102009,2018 June
8B+L18,89322,94458,91225,94745,96362,99878,98267,103400,2018 June
8B+L20,99607,104743,101510,105030,106647,110163,108552,113685,2018 June
8B+L22,105394,110530,107297,110817,112434,115950,114339,119472,2018 June
1A,57845,63084,59786,63376,65026,68612,66969,72205,2019
2A,58995,64234,60936,64526,66176,69762,68119,73355,2019
3A,59483,64722,61424,65014,66664,70250,68607,73843,2019
4A,60343,65582,62284,65874,67524,71110,69467,74703,2019
5A,61089,66328,63030,66620,68270,71856,70213,75449,2019
6A,61890,67129,63831,67421,69071,72657,71014,76250,2019
6A+L5,63109,68348,65050,68640,70290,73876,72233,77469,2019
6B,63026,68265,64967,68557,70207,73793,72150,77386,2019
6B+L5,64245,69484,66186,69776,71426,75012,73369,78605,2019
7A,64712,69951,66653,70243,71893,75479,73836,79072,2019
7A+L5,65931,71170,67872,71462,73112,76698,75055,80291,2019
7B,68662,73901,70603,74193,75843,79429,77786,83022,2019
7B+L5,69881,75120,71822,75412,77062,80648,79005,84241,2019
8A,72356,77595,74297,77887,79537,83123,81480,86716,2019
8A+L5,73575,78814,75516,79106,80756,84342,82699,87935,2019
8B,76743,81982,78684,82274,83924,87510,85867,91103,2019
8B+L5,77962,83201,79903,83493,85143,88729,87086,92322,2019
8B+L10,81723,86962,83664,87254,88904,92490,90847,96083,2019
8B+L13,84284,89523,86225,89815,91465,95051,93408,98644,2019
8B+L15,89690,94929,91631,95221,96871,100457,98814,104050,2019
8B+L18,91109,96348,93050,96640,98290,101876,100233,105469,2019
8B+L20,101599,106838,103540,107130,108780,112366,110723,115959,2019
8B+L22,107502,112741,109443,113033,114683,118269,116626,121862,2019
1A,59291,64661,61281,64960,66652,70327,68643,74010,2020
2A,60470,65840,62460,66139,67831,71506,69822,75189,2020
3A,60970,66340,62960,66639,68331,72006,70322,75689,2020
4A,61852,67222,63842,67521,69213,72888,71204,76571,2020
5A,62616,67986,64606,68285,69977,73652,71968,77335,2020
6A,63437,68807,65427,69106,70798,74473,72789,78156,2020
6A+L5,64686,70056,66676,70355,72047,75722,74038,79405,2020
6B,64602,69972,66592,70271,71963,75638,73954,79321,2020
6B+L5,65851,71221,67841,71520,73212,76887,75203,80570,2020
7A,66330,71700,68320,71999,73691,77366,75682,81049,2020
7A+L5,67579,72949,69569,73248,74940,78615,76931,82298,2020
7B,70379,75749,72369,76048,77740,81415,79731,85098,2020
